metric,age_group,td_mean,td_std,sli_mean,sli_std,difference,t_statistic,p_value,cohen_d,n_td,n_sli,p_adjusted,significant
transitivity,6y,0.7118308391414476,0.18514535945271154,0.7064810653696285,0.2592217402532924,0.005349773771819111,0.1292810817903697,0.8973350490586159,0.02375043101503318,99,33,0.9136502317687727,False
num_nodes,7y,144.0,57.05287287271609,112.82,50.20923160909267,31.180000000000007,3.2801091958078725,0.0012939100821935444,0.5801998605672287,100,50,0.002950122372653751,True
num_edges,7y,124.96,90.79657805148047,106.66,90.440330988933,18.299999999999997,1.1651578444392419,0.24582960729664913,0.20194523007106804,100,50,0.29290336188536914,False
density,7y,0.011754055217629676,0.004811429830565229,0.01682190137731231,0.009376869399461552,-0.005067846159682634,-4.381424150590837,2.2209339814395786e-05,-0.6800317821045616,100,50,0.00012437230296061713,True
avg_degree_centrality,7y,0.011754055217629676,0.004811429830565229,0.016821901377312307,0.009376869399461552,-0.005067846159682631,-4.381424150590835,2.220933981439592e-05,-0.6800317821045611,100,50,0.00012437230296061713,True
avg_clustering,7y,0.2396298906655948,0.0879909440028913,0.25276821887955253,0.10686867310968186,-0.013138328213957717,-0.8013429839186225,0.42421777344765454,-0.13422077259840337,100,50,0.4949207356889303,False
avg_closeness_centrality,7y,0.48115222138634933,0.20190309901915587,0.6114184385594754,0.250654569454997,-0.1302662171731261,-3.430335350187469,0.0007814139511650364,-0.5723774114518151,100,50,0.0020264849826847936,True
avg_path_length,7y,2.496590808937279,0.8826060296761057,2.0389436513861523,0.9277662111570965,0.4576471575511265,2.9429714514246137,0.003775248116614295,0.5054262594998806,100,50,0.00755049623322859,True
transitivity,7y,0.715991008940552,0.16951732830748747,0.7335111207450331,0.21897791526460525,-0.017520111804481098,-0.539927675254619,0.5900583925973072,-0.0894725298135589,100,50,0.6521722334423709,False
num_nodes,8y,167.13,53.081727533867976,112.84848484848484,52.8299874669451,54.28151515151515,5.099652330565017,1.165269220543076e-06,1.0250303626502955,100,33,1.0875846058402043e-05,True
num_edges,8y,147.18,96.20079799748822,108.15151515151516,94.31898046394255,39.02848484848485,2.030480688046365,0.04433177698504103,0.40968535109464815,100,33,0.07093084317606566,False
density,8y,0.010648821440630616,0.004889522222412571,0.016893575372326865,0.009585333659134863,-0.006244753931696248,-4.887194010117671,2.9360296171464606e-06,-0.8207335951053614,100,33,2.0552207320025543e-05,True
avg_degree_centrality,8y,0.010648821440630616,0.004889522222412571,0.01689357537232686,0.009585333659134863,-0.006244753931696245,-4.8871940101176685,2.936029617146506e-06,-0.8207335951053609,100,33,2.0552207320025543e-05,True
avg_clustering,8y,0.24951137800654066,0.0825067082225202,0.24371223860475708,0.10773076550117557,0.005799139401783587,0.32337481475788626,0.7469270421003313,0.06043840991139176,100,33,0.7892059312758218,False
avg_closeness_centrality,8y,0.44912352951180096,0.19895371153576608,0.6029975038269197,0.25070366436848396,-0.1538739743151188,-3.6025204836765323,0.0004462028608776054,-0.679917439710829,100,33,0.0013207628697355657,True
avg_path_length,8y,2.7288070989854614,0.9976738891568167,2.0761959243023487,0.9666125754578666,0.6526111746831127,3.283016861480768,0.0013170189163632818,0.664393517377533,100,33,0.002950122372653751,True
transitivity,8y,0.7219450016594293,0.15293852470534705,0.7289373570182923,0.24167399354793542,-0.0069923553588630005,-0.19487749638619822,0.8457907646800815,-0.034575709311313624,100,33,0.8771163485571215,False
num_nodes,9y,191.75555555555556,34.63586918706436,148.45833333333334,50.241139531755,43.29722222222222,4.211492018241716,7.74047920939266e-05,1.0034158404104303,45,24,0.0003913823998529706,True
num_edges,9y,165.77777777777777,85.08174916163888,153.54166666666666,98.6707212494368,12.236111111111114,0.5380135310660995,0.5923504905137533,0.1328176774043447,45,24,0.6521722334423709,False
density,9y,0.008805210704113298,0.003116469290927048,0.01364441358606235,0.006664652865770187,-0.004839202881949053,-4.116915357789769,0.00010754503526689947,-0.9301862168779577,45,24,0.0004015014649964247,True
avg_degree_centrality,9y,0.008805210704113298,0.0031164692909270483,0.01364441358606235,0.006664652865770187,-0.004839202881949053,-4.116915357789769,0.00010754503526689947,-0.9301862168779577,45,24,0.0004015014649964247,True
avg_clustering,9y,0.25037291595519845,0.07152986508644417,0.261356927402457,0.09685657255448231,-0.010984011447258524,-0.5356959888111993,0.5939425697421592,-0.12901082783450254,45,24,0.6521722334423709,False
avg_closeness_centrality,9y,0.40681260374781714,0.16085554493143375,0.5039282334120333,0.22266421688356305,-0.09711562966421616,-2.0833413502346674,0.04103871706896868,-0.499992393919914,45,24,0.06759318105477195,False
avg_path_length,9y,2.9515906380531,1.07045535133521,2.470762059236085,1.0173384611027416,0.480828578817015,1.8073649114783332,0.07519481092332957,0.4604602589152345,45,24,0.10527273529266139,False
transitivity,9y,0.7047532652886029,0.12572683744375515,0.7158214574616913,0.14020172334839298,-0.01106819217308841,-0.3345820641565188,0.7389855373905023,-0.08311880559474671,45,24,0.7892059312758218,False
num_nodes,10y,194.35294117647058,45.07053295864684,149.38095238095238,56.05486258164959,44.9719887955182,3.578942282643508,0.0006316811064618017,0.8842291772668522,51,21,0.0017687070980930445,True
num_edges,10y,162.2549019607843,79.44654634085862,124.80952380952381,71.3166313335249,37.4453781512605,1.8704533956968108,0.06560188005216079,0.49602367400615194,51,21,0.09816460196602365,False
density,10y,0.009199400240603617,0.005589618997659843,0.013163008003423618,0.007907407970323539,-0.003963607762820001,-2.4115920456940008,0.018509382496972898,-0.5788573208754181,51,21,0.034550847327682745,True
avg_degree_centrality,10y,0.009199400240603617,0.005589618997659841,0.013163008003423618,0.007907407970323539,-0.003963607762820001,-2.411592045694001,0.018509382496972857,-0.5788573208754182,51,21,0.034550847327682745,True
avg_clustering,10y,0.2530150946489902,0.05643102855091728,0.2514194256075825,0.07862619816477713,0.0015956690414076768,0.0968124037864498,0.9231520257965348,0.02331676095849547,51,21,0.9231520257965348,False
avg_closeness_centrality,10y,0.4565517112606566,0.20723571825960616,0.554380315949025,0.2608892654948829,-0.09782860468836846,-1.685297841525491,0.09638452683007748,-0.415240873315256,51,21,0.13164715859717901,False
avg_path_length,10y,2.7073222294957033,1.0456989560831196,2.2730799915501336,0.9612030602344881,0.4342422379455697,1.6383053932090266,0.10584559799271015,0.4323657749425445,51,21,0.1411274639902802,False
transitivity,10y,0.7052269688407631,0.10384904506696746,0.7707063932681807,0.13849178127559258,-0.06547942442741761,-2.1994867434700516,0.03114797028800905,-0.5349529981276743,51,21,0.054508948004015845,False
